index,name_fr,name_en,image
1,La route vers le Grand Moulin,Road to the Big Windmill,
2,L'attaque de Flora Piranha,Down with Petey Piranha!,
3,Le secret de la grotte de la colline,The Hillside Cave Secret,
4,Les pièces rouges du village,Red Coins of Windmill Village,
5,Le retour de Flora Piranha,Petey Piranha Strikes Back,
6,Le secret du lac pollué,The Secret of the Dirty Lake,
7,Antimario en cavale,Shadow Mario on the Loose,
8,Les pièces rouges du lac,Red Coins of the Lake,
9,Les pièces rouges de la grotte de la colline,The Hillside Cave Red Coins,
10,Les pièces rouges du lac pollué,Red Coins of the Dirty Lake,
11,100 pièces Collines Bianco,Bianco Hills 100 Coin Shine,
12,Le Méga Bloups pollueur,Gooper Blooper Breaks Out,
13,La surf attitude,Blooper Surfing Safari,
14,Le soleil emprisonné,The Caged Sprite,
15,Le secret de la tour Ricco,The Secret of Ricco Tower,
16,Méga Bloups contre-attaque,Gooper Blooper Returns,
17,Les pièces rouges du port Ricco,Red Coins in the Water,
18,Antimario se fait arroser,Shadow Mario Revisited,
19,Insatiable Yoshi,Yoshi's Fruit Adventure,
20,Course de Bloups,Blooper Speed Run,
21,Les pièces rouges de la tour Ricco,Red Coins of Ricco Tower,
22,100 pièces Port Ricco,Ricco Harbor 100 Coin Shine,
23,Le secret des Fleurs des Sables,Dune Bud Sand Castle Secret,
24,Les miroirs en folie !,"Mirror Madness! Tilt, Slam, Bam!",
25,Wiggler ! En avant toute !,Wiggler Ahoy! Full Steam Ahead!,
26,L'Oiseau de Sable légendaire,The Sand Bird is Born,
27,Le sprint d'Il Piantissimo,Il Piantissimo's Sand Sprint,
28,Pièces rouges et coraux,Red Coins in the Coral Reef,
29,Antimario à la plage,It's Shadow Mario! After Him!,
30,La fête des pastèques,The Watermelon Festival,
31,Les pièces rouges du château de sable,Dune Bud Sand Castle Red Coins,
32,Le secret du bourgeon de sable,Dune Bud Secret,
33,100 pièces Gelato-les-flots,Gelato Beach 100 Coin Shine,
34,L'apparition de Mecha-Bowser,Mecha-Bowser Appears!,
35,Le secret du canon de la plage,The Beach Cannon's Secret,
