index,itemname_fr,itemname,imgsrc
1,Bâton Mojo,Deku Stick,./oot/Deku_Stick.png
2,Graine Mojo,Deku Nut,./oot/Deku_Nut.png
3,Bombe,Bomb,./oot/Bomb.png
4,Arc des Fées,Fairy Bow,./oot/Fairy_Bow.png
5,Flèche de Feu,Fire Arrow,./oot/Fire_Arrow.png
6,Flamme de Din,Din's Fire,./oot/Din_s_Fire.png
7,Lance-Pierre des Fées,Fairy Slingshot,./oot/Fairy_Slingshot.png
8,Ocarina du Temps,Ocarina of Time,./oot/Ocarina_of_Time.png
9,Bombchu,Bombchu,./oot/Bombchu.png
10,Grappin Long,Longshot,./oot/Longshot.png
11,Flèche de Glace,Ice Arrow,./oot/Ice_Arrow.png
12,Vent de Farore,Farore's Wind,./oot/Farore_s_Wind.png
13,Boomerang,Boomerang,./oot/Boomerang.png
14,Lentille de Vérité,Lens of Truth,./oot/Lens_of_Truth.png
15,Œil de Vérité,Eye of Truth,./oot/Eye_of_Truth.png
16,Haricot Magique,Magic Bean,./oot/Magic_Bean.png
17,Marteau Megaton,Megaton Hammer,./oot/Megaton_Hammer.png
18,Flèche de Lumière,Light Arrow,./oot/Light_Arrow.png
19,Flèche de Lumière,Arrow of Light,./oot/Arrow_of_Light.png
20,Amour de Nayru,Nayru's Love,./oot/Nayru_s_Love.png
21,Bouteille,Bottle,./oot/Bottle.png
22,Potion Rouge,Red Potion,./oot/Red_Potion.png
23,Potion Verte,Green Potion,./oot/Green_Potion.png
24,Potion Bleue,Blue Potion,./oot/Blue_Potion.png
25,Lait Lon Lon,Lon Lon Milk,./oot/Lon_Lon_Milk.png
26,Fée,Fairy,./oot/Fairy.png
27,Esprit de Fée,Fairy's Spirit,./oot/Fairy_s_Spirit.png
28,Poisson,Fish,./oot/Fish.png
29,Insecte,Bug,./oot/Bug.png
30,Flamme Bleue,Blue Fire,./oot/Blue_Fire.png
31,Âme de Spectre,Poe Soul,./oot/Poe_Soul.png
32,Grande Âme de Spectre,Big Poe Soul,./oot/Big_Poe_Soul.png
33,Lettre dans une Bouteille,Letter in a Bottle,./oot/Letter_in_a_Bottle.png
34,Œuf Bizarre,Weird Egg,./oot/Weird_Egg.png
35,Cocotte,Cucco,./oot/Cucco.png
36,Lettre de Zelda,Zelda's Letter,./oot/Zelda_s_Letter.png
