id,name_fr,name_en,path_key,type
DremoraBoots,Bottes,Boots,[00] Skyrim.esm/[21] Armor/[0] DremoraBoots [ARMO-00016FFF],ARMO
SkinDwarvenSpiderCenturionNOEYE,,,[00] Skyrim.esm/[21] Armor/[1000] SkinDwarvenSpiderCenturionNOEYE [ARMO-000F4FD1],ARMO
EnchArmorDraugrHelmetResistFire03,Casque draugr d'ininflammabilit,Ancient Helmet of the Unburned,[00] Skyrim.esm/[21] Armor/[1001] EnchArmorDraugrHelmetResistFire03 [ARMO-000F494E],ARMO
SkinSprigganMatron,,,[00] Skyrim.esm/[21] Armor/[1002] SkinSprigganMatron [ARMO-000F3904],ARMO
SkinSkeletonNecroPriest,,,[00] Skyrim.esm/[21] Armor/[1003] SkinSkeletonNecroPriest [ARMO-000EBE8F],ARMO
SkinSkeletonNecroStormCloak,,,[00] Skyrim.esm/[21] Armor/[1004] SkinSkeletonNecroStormCloak [ARMO-000EB87C],ARMO
SkinSkeletonNecroImperial,,,[00] Skyrim.esm/[21] Armor/[1005] SkinSkeletonNecroImperial [ARMO-000EB875],ARMO
SkinSkeletonNecro,,,[00] Skyrim.esm/[21] Armor/[1006] SkinSkeletonNecro [ARMO-000EB874],ARMO
MG05RewardAmulet,Amulette de Savos Aren,Savos Aren's Amulet,[00] Skyrim.esm/[21] Armor/[1007] MG05RewardAmulet [ARMO-000F1B33],ARMO
MG04Reward06,Couronne du mage,Mage's Circlet,[00] Skyrim.esm/[21] Armor/[1008] MG04Reward06 [ARMO-000F1B31],ARMO
MG04Reward05,Couronne du mage,Mage's Circlet,[00] Skyrim.esm/[21] Armor/[1009] MG04Reward05 [ARMO-000F1B30],ARMO
EnchArmorDragonplateBootsStamina05,Bottes pendragon de vigueur extrme,Dragonplate Boots of Extreme Stamina,[00] Skyrim.esm/[21] Armor/[100] EnchArmorDragonplateBootsStamina05 [ARMO-0010DF7B],ARMO
MG04Reward04,Couronne du mage,Mage's Circlet,[00] Skyrim.esm/[21] Armor/[1010] MG04Reward04 [ARMO-000F1B2F],ARMO
MG04Reward03,Couronne du mage,Mage's Circlet,[00] Skyrim.esm/[21] Armor/[1011] MG04Reward03 [ARMO-000F1B2E],ARMO
MG04Reward02,Couronne du mage,Mage's Circlet,[00] Skyrim.esm/[21] Armor/[1012] MG04Reward02 [ARMO-000F1B2D],ARMO
MG04Reward01,Couronne du mage,Mage's Circlet,[00] Skyrim.esm/[21] Armor/[1013] MG04Reward01 [ARMO-000F1B2C],ARMO
DremoraDaedricGauntlets,Gantelets daedras,Daedric Gauntlets,[00] Skyrim.esm/[21] Armor/[1014] DremoraDaedricGauntlets [ARMO-000F1AC0],ARMO
DremoraDaedricCuirass,Armure daedra,Daedric Armor,[00] Skyrim.esm/[21] Armor/[1015] DremoraDaedricCuirass [ARMO-000F1ABE],ARMO
DremoraDaedricBoots,Bottes daedras,Daedric Boots,[00] Skyrim.esm/[21] Armor/[1016] DremoraDaedricBoots [ARMO-000F1ABD],ARMO
ClothesGuardSleep,Vtements,Clothes,[00] Skyrim.esm/[21] Armor/[1017] ClothesGuardSleep [ARMO-000F1229],ARMO
SkinWispShade,,,[00] Skyrim.esm/[21] Armor/[1018] SkinWispShade [ARMO-000F1187],ARMO
crWispShadeShield,Bouclier d'acier,Steel Shield,[00] Skyrim.esm/[21] Armor/[1019] crWispShadeShield [ARMO-000F1186],ARMO
EnchArmorDragonplateBootsStamina04,Bottes pendragon de vigueur accrue,Dragonplate Boots of Eminent Stamina,[00] Skyrim.esm/[21] Armor/[101] EnchArmorDragonplateBootsStamina04 [ARMO-0010DF7A],ARMO
SkinUderfrykte,,,[00] Skyrim.esm/[21] Armor/[1020] SkinUderfrykte [ARMO-000F0779],ARMO
ArmorTorturerHood,Capuchon de tortionnaire,Torturer's Hood,[00] Skyrim.esm/[21] Armor/[1021] ArmorTorturerHood [ARMO-000EE5C0],ARMO
ArmorSprigganShield,Bouclier de spriggan,Spriggan Shield,[00] Skyrim.esm/[21] Armor/[1022] ArmorSprigganShield [ARMO-000EC8B1],ARMO
skinDragonOdahviing,,,[00] Skyrim.esm/[21] Armor/[1023] skinDragonOdahviing [ARMO-000EBC0B],ARMO
MS02ForswornBoots,Bottes des Anciennes divinits,Boots of the Old Gods,[00] Skyrim.esm/[21] Armor/[1024] MS02ForswornBoots [ARMO-000EAFD3],ARMO
MS02ForswornGauntlets,Gantelets des Anciennes divinits,Gauntlets of the Old Gods,[00] Skyrim.esm/[21] Armor/[1025] MS02ForswornGauntlets [ARMO-000EAFD2],ARMO
MS02ForswornHelmet,Casque des Anciennes divinits,Helmet of the Old Gods,[00] Skyrim.esm/[21] Armor/[1026] MS02ForswornHelmet [ARMO-000EAFD1],ARMO
MS02ForswornArmor,Armure des Anciennes divinits,Armor of the Old Gods,[00] Skyrim.esm/[21] Armor/[1027] MS02ForswornArmor [ARMO-000EAFD0],ARMO
ClothesJarl03_var1,Vtement brod,Embroidered Garment,[00] Skyrim.esm/[21] Armor/[1028] ClothesJarl03_var1 [ARMO-000EAD49],ARMO
ClothesRadiantRaimentFineClothes01,Vtements raffins de Friperies fantaisie,Radiant Raiment Fine Clothes,[00] Skyrim.esm/[21] Armor/[1029] ClothesRadiantRaimentFineClothes01 [ARMO-000E9EB5],ARMO
EnchArmorDaedricBootsStamina06,Bottes daedras de vigueur absolue,Daedric Boots of Peerless Stamina,[00] Skyrim.esm/[21] Armor/[102] EnchArmorDaedricBootsStamina06 [ARMO-0010DF79],ARMO
ClothesJarl_var2,Tunique raffine,Refined Tunic,[00] Skyrim.esm/[21] Armor/[1030] ClothesJarl_var2 [ARMO-000E84C6],ARMO
ClothesJarl_var1,Robe embellie,Embellished Robes,[00] Skyrim.esm/[21] Armor/[1031] ClothesJarl_var1 [ARMO-000E84C4],ARMO
